Date,Channel,Retailer,Retailor,SKU, Unit Sold ,Rev,Category,Sub_Category
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,(주)신세계라이브쇼핑,LC150KRBL,1,453636,Shark Floorcare,FW
6/1/2026,TVHS,TVHS,(주)신세계라이브쇼핑,LC150KRBL,1,453636,Shark Floorcare,FW
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,GWPKR0007,1,0,ETC,ETC
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRPK,1,136273,Ninja Motorized,Portable
6/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
